city,SUM of estimated_annual_revenue,AVERAGE of occupancy_rate,COUNTA of id,,,COUNTA of id,SUM of estimated_annual_revenue,AVERAGE of price,AVERAGE of occupancy_rate,AVERAGE of revenue_per_available_day,Professional hosts,,,,,,,host_id,host_name,SUM of estimated_annual_revenue,COUNTA of id,AVERAGE of occupancy_rate,,,,
San Pasqual,"$62,050.00",100.00%,0.74,1,,,38355405,Entire Home/Apt,Premium,50.40%,"$186,576.00",0.65,,,,,,46012704,Equity,"$303,756.00",1,55.90%,,,,
78704,"$61,628.62",69.51%,0.9879761905,84,,,38103188,Entire Home/Apt,Premium,92.10%,"$186,480.00",6.83,,,,,,1252700,Dani,"$301,125.00",1,100.00%,,,,
Fairmount Park,"$61,563.33",100.00%,0.7366666667,3,,,26993189,Entire Home/Apt,Premium,53.20%,"$185,658.00",0.10,,,,,,9464858,Barbara,"$300,223.00",5,57.94%,,,,
Bernal Heights,"$61,340.29",66.88%,0.8728571429,14,,,26322231,Entire Home/Apt,Premium,63.60%,"$185,368.00",-0.12,,,,,,45914148,Katshahar,"$299,350.00",4,59.25%,,,,
Haller Lake,"$61,320.00",100.00%,0.73,2,,,29519513,Entire Home/Apt,Premium,77.30%,"$183,300.00",-0.48,,,,,,133243531,Sophie,"$299,000.00",1,81.90%,,,,
Far Rockaway,"$60,882.00",76.20%,1.34,1,,,41409602,Entire Home/Apt,Premium,100.00%,"$182,500.00",-0.66,,,,,,35502794,Niki,"$296,100.00",1,77.30%,,,,
28704,"$60,624.40",43.24%,1.534,5,,,30955100,Entire Home/Apt,Premium,100.00%,"$182,500.00",-0.51,,,,,,271357457,Queen Kapiolani Hotel Waikiki Beach,"$295,650.00",2,100.00%,,,,
West Village,"$60,615.56",71.25%,1.390555556,36,,,22716802,Entire Home/Apt,Average,100.00%,"$182,500.00",-0.75,,,,,,260807399,John,"$292,000.00",2,100.00%,,,,
Core,"$60,475.14",85.24%,0.6085714286,7,,,21161939,Entire Home/Apt,Premium,100.00%,"$182,500.00",-0.71,,,,,,169668842,Shannon,"$292,000.00",1,100.00%,,,,
Grand Lake,"$60,280.00",75.10%,1.4,1,,,14518032,Entire Home/Apt,Premium,100.00%,"$182,500.00",0.82,,,,,,163739390,Ralph,"$292,000.00",2,100.00%,,,,
Fairfax,"$59,403.40",78.92%,1.076,10,,,10784973,Entire Home/Apt,Premium,100.00%,"$182,500.00",-0.75,,,,,,162575767,Hampton,"$292,000.00",1,100.00%,,,,
South Slope,"$59,322.89",99.97%,0.9988888889,9,,,20148978,Entire Home/Apt,Premium,100.00%,"$182,135.00",-0.51,,,,,,103911295,Katie,"$292,000.00",1,100.00%,,,,
West Of Twin Peaks,"$59,170.00",91.25%,0.575,2,,,7043817,Entire Home/Apt,Premium,100.00%,"$182,135.00",-0.68,,,,,,58024294,Winston,"$292,000.00",1,100.00%,,,,
North Hills,"$58,785.47",77.00%,0.6167647059,34,,,15742221,Entire Home/Apt,Premium,58.40%,"$181,050.00",-0.17,,,,,,281832412,Maria,"$291,635.00",1,100.00%,,,,
North End,"$58,703.17",61.27%,1.595,6,,,13201325,Entire Home/Apt,Premium,100.00%,"$180,675.00",-0.46,,,,,,118355916,Savanna,"$291,635.00",1,100.00%,,,,
78731,"$57,850.50",64.98%,0.905,8,,,522089,Entire Home/Apt,Premium,100.00%,"$180,675.00",0.25,,,,,,76881093,Anthony,"$290,175.00",1,100.00%,,,,
Cory - Merrill,"$57,487.50",100.00%,0.755,2,,,6575767,Entire Home/Apt,Premium,99.70%,"$180,180.00",1.38,,,,,,12511092,Peter,"$290,175.00",1,100.00%,,,,
Lower Queen Anne,"$57,130.00",64.63%,0.9308333333,12,,,43788682,Entire Home/Apt,Premium,98.60%,"$180,000.00",-0.16,,,,,,11307852,Michael,"$290,175.00",1,100.00%,,,,
Flatiron District,"$56,915.50",57.80%,1.44,2,,,23896894,Entire Home/Apt,Premium,98.60%,"$178,200.00",-0.56,,,,,,190450363,Daphne,"$284,675.00",1,52.90%,,,,
Pearl,"$56,458.57",58.39%,1.84,7,,,21323311,Entire Home/Apt,Premium,81.10%,"$177,600.00",-0.57,,,,,,88575829,Lydia,"$282,000.00",1,77.30%,,,,
North El Monte,"$56,400.00",77.30%,0.87,1,,,38866020,Entire Home/Apt,Premium,100.00%,"$177,025.00",0.18,,,,,,24599239,Noah,"$282,000.00",1,77.30%,,,,
Mission,"$56,326.38",70.05%,0.6634615385,26,,,23480017,Entire Home/Apt,Premium,100.00%,"$177,025.00",-0.75,,,,,,348089487,Sam,"$279,720.00",1,76.70%,,,,
Seminary,"$56,112.50",51.35%,1.905,2,,,20017682,Entire Home/Apt,Premium,85.80%,"$176,845.00",0.40,,,,,,147796793,Chelsea,"$278,000.00",1,76.20%,,,,
Daly City,"$55,709.20",69.18%,1.325333333,15,,,24241062,Entire Home/Apt,Premium,97.50%,"$176,220.00",-0.54,,,,,,49733955,Joanne,"$273,750.00",1,100.00%,,,,
78750,"$55,480.00",100.00%,0.57,2,,,3445138,Entire Home/Apt,Premium,96.70%,"$174,735.00",-0.28,,,,,,23159721,Jenn,"$273,750.00",1,100.00%,,,,
Valley Village,"$55,451.40",23.64%,1.122,5,,,14761301,Entire Home/Apt,Premium,74.80%,"$174,174.00",-0.39,,,,,,1452426,Tom,"$273,750.00",1,100.00%,,,,
78702,"$55,371.92",66.53%,0.9566129032,62,,,4839691,Entire Home/Apt,Premium,79.50%,"$174,000.00",-0.52,,,,,,24492275,Ryan,"$273,385.00",1,100.00%,,,,
Centennial,"$55,322.00",76.20%,1.39,1,,,2741869,Entire Home/Apt,Premium,100.00%,"$173,375.00",2.25,,,,,,981460,John,"$273,296.00",1,83.30%,,,,
Green Lake,"$55,226.25",73.85%,0.8675,4,,,20537985,Entire Home/Apt,Average,78.40%,"$171,600.00",0.42,,,,,,41273097,Mehmet Yusuf,"$272,136.00",1,75.60%,,,,
Venice,"$55,165.25",56.96%,1.106811594,69,,,36449682,Entire Home/Apt,Premium,41.60%,"$171,456.00",1.27,,,,,,22635145,Cb Island Vacations,"$270,498.00",5,51.72%,,,,
Redwood Heights,"$55,025.00",87.95%,1.3075,4,,,11981837,Hotel Room,Premium,83.80%,"$171,054.00",-0.38,,,,,,1833853,Ricardo,"$270,157.00",5,29.78%,,,,
New Shoreham,"$54,902.50",61.18%,0.9466666667,6,,,3455364,Entire Home/Apt,Premium,99.70%,"$170,716.00",-0.61,,,,,,1340541,Kayla,"$270,100.00",1,100.00%,,,,
Shore Acres,"$54,750.00",100.00%,0.92,1,,,34154515,Entire Home/Apt,Premium,47.90%,"$169,750.00",0.09,,,,,,100800,Cynthia,"$269,250.00",1,98.40%,,,,
Freret,"$54,385.00",100.00%,0.94,1,,,19387694,Entire Home/Apt,Premium,97.80%,"$169,575.00",-0.39,,,,,,120815420,Jamie,"$269,100.00",1,75.60%,,,,
Los Feliz,"$54,213.86",77.03%,0.82,7,,,31036151,Entire Home/Apt,Premium,92.90%,"$169,500.00",0.37,,,,,,26180149,Michael,"$267,000.00",1,97.50%,,,,
Nolita,"$53,860.69",66.43%,1.23,13,,,19697474,Entire Home/Apt,Premium,86.30%,"$168,525.00",-0.48,,,,,,202534309,Moshe,"$266,325.00",1,91.80%,,,,
Pike-Market,"$53,800.00",46.78%,1.3375,4,,,25010546,Entire Home/Apt,Premium,99.20%,"$166,882.00",-0.70,,,,,,68890,Paula,"$266,000.00",1,72.90%,,,,
Stevens,"$53,717.00",65.04%,0.97625,8,,,19950456,Entire Home/Apt,Premium,45.80%,"$166,666.00",1.47,,,,,,53037507,Suzanne,"$264,990.00",1,66.30%,,,,
Rolling Hills Estates,"$53,600.00",73.40%,0.87,1,,,16177663,Entire Home/Apt,Premium,75.30%,"$164,450.00",-0.10,,,,,,77803074,Tom,"$263,150.00",1,75.90%,,,,
"Capitol Hill, Lincoln Park","$53,588.71",54.09%,1.225238095,42,,,31928073,Entire Home/Apt,Premium,100.00%,"$164,250.00",-0.82,,,,,,74079684,Marina,"$262,680.00",6,67.63%,,,,
Pico-Robertson,"$53,583.67",37.44%,1.541111111,9,,,22699938,Entire Home/Apt,Average,100.00%,"$164,250.00",-0.83,,,,,,134903005,Carolina Mornings,"$262,080.00",1,99.70%,,,,
Menlo Park,"$53,549.07",48.02%,1.398,15,,,22375226,Entire Home/Apt,Premium,100.00%,"$164,250.00",0.55,,,,,,159114814,Tye,"$255,500.00",1,100.00%,,,,
Mar Vista,"$52,937.27",64.55%,1.081333333,15,,,14632670,Entire Home/Apt,Premium,100.00%,"$164,250.00",-0.75,,,,,,23045621,Stacie,"$255,500.00",1,100.00%,,,,
Shafter,"$52,818.00",97.58%,0.94,5,,,13115908,Entire Home/Apt,Premium,100.00%,"$164,250.00",-0.09,,,,,,9136151,Michael,"$255,500.00",1,100.00%,,,,
Western Addition,"$52,583.50",53.35%,0.791,20,,,5395797,Entire Home/Apt,Premium,100.00%,"$164,250.00",-0.84,,,,,,194558566,Nola,"$255,225.00",1,68.20%,,,,
La Jolla,"$52,345.46",47.38%,0.9511428571,35,,,5306456,Entire Home/Apt,Premium,100.00%,"$164,250.00",-0.81,,,,,,34593209,Amazing Vacation,"$255,063.00",4,85.23%,,,,
Haight Ashbury,"$52,223.10",59.10%,0.897,10,,,3186103,Entire Home/Apt,Premium,100.00%,"$164,250.00",-0.54,,,,,,118085755,Bryce,"$253,769.00",4,90.18%,,,,
Gatewood,"$52,112.50",98.10%,0.63,2,,,1910270,Entire Home/Apt,Premium,100.00%,"$164,250.00",-0.49,,,,,,1364450,Katherine,"$253,675.00",1,100.00%,,,,
Windsor Terrace,"$52,068.14",73.70%,1.017142857,7,,,38106476,Entire Home/Apt,Premium,100.00%,"$163,520.00",-0.66,,,,,,31214940,Scott,"$252,858.00",5,94.54%,,,,
Hermosa Beach,"$51,987.67",43.38%,1.313333333,9,,,31527911,Entire Home/Apt,Premium,100.00%,"$162,425.00",-0.38,,,,,,167956951,Mathias,"$251,850.00",1,100.00%,,,,
Russian Hill,"$51,856.40",45.26%,1.067,10,,,24971177,Entire Home/Apt,Premium,100.00%,"$162,425.00",-0.27,,,,,,45763784,Julio,"$250,140.00",1,90.40%,,,,
Downtown/Civic Center,"$51,805.73",75.33%,0.5927027027,37,,,3664990,Private Room,Premium,88.80%,"$162,000.00",0.95,,,,,,11377707,Jason,"$249,922.00",1,76.20%,,,,
Cole,"$51,763.50",85.70%,0.73,4,,,26564334,Entire Home/Apt,Premium,73.70%,"$161,400.00",-0.31,,,,,,49041437,Daniel,"$247,100.00",1,96.70%,,,,
Bay Village,"$51,287.33",60.17%,1.123333333,3,,,31798083,Entire Home/Apt,Premium,97.80%,"$160,293.00",-0.40,,,,,,1802999,Rachel,"$242,757.00",2,98.35%,,,,
South Tabor,"$51,246.00",81.26%,1.128,5,,,41318204,Entire Home/Apt,Premium,52.90%,"$159,997.00",0.70,,,,,,218110608,Na,"$241,614.00",1,51.00%,,,,
Richmond Hill,"$51,194.00",98.10%,0.88,1,,,1488166,Entire Home/Apt,Premium,88.20%,"$159,390.00",0.68,,,,,,18427679,Wiley,"$241,400.00",1,97.30%,,,,
Boyle Heights,"$50,960.00",38.35%,0.885,2,,,20149602,Entire Home/Apt,Premium,75.60%,"$158,700.00",1.88,,,,,,333676854,Red Awning,"$241,077.00",5,47.74%,,,,
South Lake Union,"$50,844.50",70.82%,0.7766666667,6,,,16978404,Entire Home/Apt,Premium,42.20%,"$158,620.00",0.13,,,,,,271644367,Marigrace,"$240,800.00",1,8.80%,,,,
Westerly,"$50,434.57",42.93%,1.241428571,7,,,33473664,Entire Home/Apt,Premium,50.70%,"$157,250.00",0.70,,,,,,28000574,Craig,"$240,000.00",1,54.80%,,,,
Unincorporated Santa Monica Mountains,"$50,335.22",48.60%,2.088888889,9,,,43424138,Entire Home/Apt,Premium,81.60%,"$156,450.00",0.05,,,,,,111636952,Don,"$239,148.00",1,99.70%,,,,
Park Slope,"$50,299.37",76.49%,1.128947368,19,,,30688478,Entire Home/Apt,Premium,50.40%,"$156,400.00",-0.11,,,,,,166316313,Gracy,"$237,600.00",1,75.30%,,,,
Bay Park,"$50,159.57",74.36%,0.8942857143,7,,,25302082,Shared Room,Premium,75.60%,"$156,216.00",-0.19,,,,,,161610333,William,"$237,250.00",1,100.00%,,,,
Battery Park City,"$49,763.33",96.03%,0.9033333333,6,,,24698962,Entire Home/Apt,Premium,85.50%,"$155,688.00",2.64,,,,,,260440308,Keele,"$236,885.00",1,100.00%,,,,
"Georgetown, Burleith/Hillandale","$49,713.00",65.20%,1.634,5,,,27672929,Entire Home/Apt,Premium,100.00%,"$155,125.00",-0.85,,,,,,221402374,Red Awning,"$235,820.00",2,74.65%,,,,
Winnetka,"$49,527.50",87.25%,0.75,2,,,18212346,Entire Home/Apt,Premium,100.00%,"$155,125.00",-0.81,,,,,,235125644,Noella,"$235,450.00",1,75.90%,,,,
Lahaina,"$49,462.66",39.35%,1.162795031,161,,,13084094,Entire Home/Apt,Premium,100.00%,"$155,125.00",-0.85,,,,,,28501302,Megan,"$235,425.00",1,100.00%,,,,
Gowanus,"$49,439.55",59.05%,1.575454545,11,,,21768667,Entire Home/Apt,Premium,71.50%,"$154,773.00",-0.52,,,,,,100238132,Michael,"$234,604.00",11,29.57%,,,,
78752,"$49,255.25",72.65%,0.625,8,,,13875878,Entire Home/Apt,Premium,83.30%,"$154,432.00",1.49,,,,,,94261069,La Luxuries,"$234,600.00",1,75.60%,,,,
Montebello,"$49,145.00",30.10%,1.105,2,,,17380373,Entire Home/Apt,Premium,84.40%,"$154,000.00",-0.21,,,,,,20322871,Sepi Ben,"$233,913.00",1,84.70%,,,,
Chelsea,"$48,912.43",58.78%,2.563333333,42,,,34057785,Entire Home/Apt,Premium,85.20%,"$153,945.00",-0.13,,,,,,174792040,Roompicks By Victoria,"$233,209.00",7,21.90%,,,,
La Jolla Village,"$48,857.67",73.23%,0.59,3,,,32736649,Entire Home/Apt,Premium,51.50%,"$153,032.00",0.94,,,,,,84983912,"Whalers Investment Group,","$232,777.00",4,31.85%,,,,
Bay Ho,"$48,720.00",99.66%,0.436,5,,,8097453,Entire Home/Apt,Premium,49.30%,"$152,820.00",-0.17,,,,,,4124418,Ashish,"$232,535.00",5,60.76%,,,,
Manhattan Beach,"$48,675.36",49.20%,2.023636364,11,,,15024335,Entire Home/Apt,Premium,75.60%,"$151,800.00",0.63,,,,,,18950796,Lily,"$229,450.00",1,96.70%,,,,
"Howard University, Le Droit Park, Cardozo/Shaw","$48,618.75",68.28%,1.13,12,,,18178840,Entire Home/Apt,Premium,97.30%,"$150,875.00",0.00,,,,,,35712787,Ami,"$229,220.00",1,100.00%,,,,
Carroll Gardens,"$48,565.00",55.72%,1.132,5,,,19708955,Entire Home/Apt,Premium,51.50%,"$150,400.00",0.29,,,,,,15820446,"Maui Paradise Properties,","$224,617.00",11,36.54%,,,,
Upper East Side,"$48,446.34",63.30%,1.333625,80,,,36205172,Entire Home/Apt,Premium,100.00%,"$149,650.00",-0.87,,,,,,16255476,Ken,"$224,475.00",1,100.00%,,,,
Leonidas,"$48,287.25",78.00%,1.2225,8,,,34814336,Entire Home/Apt,Premium,51.20%,"$149,413.00",0.05,,,,,,113421970,La Jolla,"$219,863.00",4,31.93%,,,,
St. Thomas Dev,"$48,180.00",100.00%,0.83,1,,,22264196,Entire Home/Apt,Premium,81.60%,"$147,510.00",0.53,,,,,,201577188,Brandt,"$219,000.00",1,100.00%,,,,
Carmel Valley,"$47,760.00",61.28%,1.088,5,,,37824674,Entire Home/Apt,Premium,100.00%,"$146,000.00",-0.74,,,,,,59072708,Tianen,"$219,000.00",1,100.00%,,,,
District 17,"$47,649.71",54.26%,1.483529412,34,,,37389259,Entire Home/Apt,Premium,100.00%,"$146,000.00",-0.76,,,,,,58112822,John,"$219,000.00",1,100.00%,,,,
Encino,"$47,599.25",46.58%,1.2275,8,,,36903645,Entire Home/Apt,Premium,100.00%,"$146,000.00",-0.82,,,,,,7029525,Sagar,"$219,000.00",1,100.00%,,,,
North Whittier,"$47,450.00",100.00%,0.56,1,,,36875733,Entire Home/Apt,Premium,100.00%,"$146,000.00",-0.46,,,,,,4416304,Leslie,"$219,000.00",1,100.00%,,,,
Pioneer Square,"$47,340.00",61.10%,0.8933333333,3,,,34624048,Entire Home/Apt,Premium,100.00%,"$146,000.00",-0.55,,,,,,717474,Laurence,"$219,000.00",1,100.00%,,,,
Near North Side,"$47,315.39",52.40%,1.681818182,33,,,34564058,Entire Home/Apt,Premium,100.00%,"$146,000.00",-0.72,,,,,,186629408,Jamal,"$218,400.00",1,99.70%,,,,
Hale,"$46,800.00",32.10%,1.91,1,,,23105024,Entire Home/Apt,Premium,100.00%,"$146,000.00",-0.91,,,,,,36278765,John,"$218,400.00",1,99.70%,,,,
College Area,"$46,281.33",93.07%,0.4333333333,6,,,22960683,Entire Home/Apt,Premium,100.00%,"$146,000.00",-0.91,,,,,,37353287,Nancys,"$217,504.00",2,48.40%,,,,
Cambridgeport,"$46,144.86",85.71%,1.018571429,7,,,17626598,Entire Home/Apt,Premium,100.00%,"$146,000.00",-0.48,,,,,,219517861,Sonder (Nyc),"$217,084.00",3,92.03%,,,,
Noho,"$46,041.33",59.27%,2.206666667,3,,,15283548,Entire Home/Apt,Premium,100.00%,"$146,000.00",-0.77,,,,,,609032,James,"$215,350.00",2,100.00%,,,,
District 2,"$45,992.25",50.13%,1.1625,4,,,14670365,Entire Home/Apt,Budget,100.00%,"$146,000.00",-0.92,,,,,,28411613,Marea,"$214,396.00",1,99.70%,,,,
East Cambridge,"$45,986.00",57.82%,1.66,5,,,7883881,Entire Home/Apt,Premium,100.00%,"$146,000.00",-0.80,,,,,,64646820,Michelle,"$214,255.00",3,100.00%,,,,
Mission Hills,"$45,724.00",77.80%,0.7,1,,,6042966,Entire Home/Apt,Premium,100.00%,"$146,000.00",-0.37,,,,,,35873058,Gordon,"$211,935.00",3,76.33%,,,,
Irvington,"$45,682.50",94.10%,0.925,2,,,41539533,Entire Home/Apt,Premium,95.10%,"$145,740.00",1.79,,,,,,107503112,Wayne B.,"$210,593.00",2,51.25%,,,,
"Shaw, Logan Circle","$45,509.13",58.74%,1.100333333,30,,,23580811,Entire Home/Apt,Premium,100.00%,"$145,635.00",-0.35,,,,,,133037850,Rob,"$209,875.00",1,100.00%,,,,
Northgate,"$45,150.00",82.50%,0.96,1,,,22703153,Entire Home/Apt,Premium,100.00%,"$145,635.00",-0.55,,,,,,4430421,Landmark,"$209,218.00",12,51.40%,,,,
Grant Hill,"$45,109.33",47.59%,0.8377777778,9,,,21999656,Entire Home/Apt,Premium,100.00%,"$145,635.00",0.05,,,,,,20857768,Compass,"$208,680.00",4,90.00%,,,,
Cherry Creek,"$45,086.00",42.45%,1.11,2,,,9550869,Entire Home/Apt,Premium,100.00%,"$145,635.00",1.21,,,,,,26521212,Laura,"$208,050.00",2,100.00%,,,,
Tarzana,"$44,983.00",58.60%,0.8266666667,6,,,4549035,Entire Home/Apt,Premium,99.70%,"$145,600.00",-0.40,,,,,,150586408,Anthony,"$207,000.00",1,75.60%,,,,
Agoura Hills,"$44,980.00",94.80%,0.56,1,,,21908004,Entire Home/Apt,Premium,100.00%,"$145,270.00",-0.91,,,,,,29345759,Jim,"$207,000.00",1,94.50%,,,,
Lower East Side,"$44,878.51",82.64%,0.8718918919,37,,,45003976,Entire Home/Apt,Premium,95.90%,"$144,900.00",-0.31,,,,,,200361565,Danielle,"$206,250.00",1,75.30%,,,,
Rogers Park,"$44,832.80",47.10%,1.942,5,,,29957316,Entire Home/Apt,Premium,79.20%,"$144,211.00",-0.72,,,,,,49046177,Jim,"$206,250.00",1,75.30%,,,,
Nob Hill,"$44,503.29",53.03%,0.7957142857,7,,,35579431,Entire Home/Apt,Premium,100.00%,"$144,175.00",-0.53,,,,,,45065985,Galvin,"$205,200.00",1,93.70%,,,,
Roseville,"$44,494.50",71.63%,0.725,6,,,3692566,Entire Home/Apt,Premium,100.00%,"$144,175.00",-0.29,,,,,,107979946,Castle Kiahuna Plantation,"$204,680.00",2,46.85%,,,,
Pill Hill,"$44,375.00",97.30%,0.8,1,,,3479568,Entire Home/Apt,Premium,100.00%,"$144,175.00",-0.24,,,,,,262977661,At Home,"$204,025.00",4,98.15%,,,,
Cortez Hill,"$44,154.50",72.98%,0.5125,12,,,29957387,Entire Home/Apt,Premium,78.90%,"$143,712.00",-0.72,,,,,,400480,Evelyn,"$202,575.00",1,100.00%,,,,
"Southwest Employment Area, Southwest/Waterfront, Fort Mcnair, Buzzard Point","$44,090.83",51.52%,1.125,6,,,25709544,Entire Home/Apt,Premium,92.60%,"$143,650.00",-0.69,,,,,,64427120,Didi,"$202,400.00",1,96.40%,,,,
Potrero Hill,"$44,045.60",52.82%,0.68,5,,,26371404,Entire Home/Apt,Premium,78.10%,"$142,500.00",0.69,,,,,,7356043,Trevor,"$202,200.00",1,92.30%,,,,
78759,"$44,009.50",80.58%,0.58,6,,,10612053,Entire Home/Apt,Premium,100.00%,"$142,350.00",-0.19,,,,,,24196977,Jenny,"$201,272.00",1,99.20%,,,,
City Of Santa Cruz,"$43,949.23",77.40%,0.7218181818,22,,,1489426,Entire Home/Apt,Premium,100.00%,"$142,350.00",-0.92,,,,,,147683024,Aa Oceanfront,"$201,270.00",3,76.90%,,,,
Koloa-Poipu,"$43,930.92",32.14%,1.3256,50,,,30811588,Entire Home/Apt,Premium,39.70%,"$142,100.00",0.55,,,,,,223489475,Carly,"$201,100.00",3,78.83%,,,,
Morningside Heights,"$43,814.33",96.26%,0.7611111111,9,,,37244729,Entire Home/Apt,Premium,12.90%,"$141,000.00",4.61,,,,,,67837876,Madison,"$200,750.00",1,100.00%,,,,
Columbia St,"$43,800.00",100.00%,0.74,1,,,43586992,Entire Home/Apt,Premium,96.40%,"$140,800.00",-0.09,,,,,,54389861,Kyle,"$200,750.00",1,100.00%,,,,
Upper West Side,"$43,430.92",72.93%,1.091621622,74,,,30532479,Entire Home/Apt,Premium,100.00%,"$140,525.00",-0.76,,,,,,21766327,Kara,"$200,750.00",1,100.00%,,,,
Union Station,"$43,335.50",74.43%,0.76,6,,,7967942,Entire Home/Apt,Premium,100.00%,"$140,525.00",-0.89,,,,,,19235212,Christina,"$200,750.00",1,100.00%,,,,
Little Woods,"$43,270.50",59.33%,1.42,4,,,35868357,Entire Home/Apt,Premium,99.70%,"$140,504.00",1.81,,,,,,3250949,Ashley,"$200,750.00",1,100.00%,,,,
Ocean Beach,"$43,210.17",58.90%,0.71,24,,,21950218,Entire Home/Apt,Premium,51.00%,"$139,500.00",-0.24,,,,,,487072,Greg Amanda,"$200,020.00",2,100.00%,,,,
78753,"$43,094.00",64.67%,0.6266666667,3,,,23447340,Entire Home/Apt,Premium,95.30%,"$139,200.00",-0.60,,,,,,814298,Thatch,"$199,448.00",9,55.12%,,,,
Congress Park,"$42,936.25",97.95%,0.5625,4,,,21024157,Entire Home/Apt,Premium,100.00%,"$138,700.00",-0.91,,,,,,86426407,James,"$199,100.00",1,99.20%,,,,
Area 2/Mit,"$42,875.00",47.00%,1.43,2,,,25102156,Entire Home/Apt,Premium,39.50%,"$138,096.00",0.03,,,,,,59503458,Antonio,"$199,003.00",2,48.10%,,,,
South Kohala,"$42,796.98",29.20%,1.218431373,51,,,22358811,Entire Home/Apt,Premium,83.80%,"$137,700.00",0.58,,,,,,341289896,Sree,"$196,666.00",3,88.23%,,,,
Mcclymonds,"$42,675.00",88.65%,0.905,2,,,3615085,Entire Home/Apt,Premium,88.80%,"$137,700.00",0.72,,,,,,75431354,La,"$196,150.00",2,50.25%,,,,
East Honolulu,"$42,600.00",33.76%,0.626,5,,,14984002,Entire Home/Apt,Premium,75.30%,"$137,500.00",-0.69,,,,,,155599602,Alex,"$195,696.00",1,82.70%,,,,
Dillard,"$42,369.50",57.90%,1.3025,4,,,6690084,Entire Home/Apt,Premium,75.30%,"$137,500.00",-0.75,,,,,,2191889,Chris,"$195,060.00",2,43.15%,,,,
"Dupont Circle, Connecticut Avenue/K Street","$42,147.71",57.62%,0.9983333333,24,,,19720703,Entire Home/Apt,Premium,75.30%,"$137,225.00",0.28,,,,,,162391159,Lauren,"$193,900.00",1,75.90%,,,,
View Park-Windsor Hills,"$42,096.67",100.00%,0.5,3,,,36871383,Entire Home/Apt,Premium,100.00%,"$136,875.00",2.39,,,,,,198870547,Jessica,"$193,526.00",4,53.38%,,,,
Piedmont,"$41,768.33",55.80%,0.9266666667,3,,,10985692,Entire Home/Apt,Premium,100.00%,"$136,875.00",-0.88,,,,,,31145479,Michael,"$193,200.00",1,75.60%,,,,
Fenway,"$41,674.88",48.84%,1.88375,8,,,8356445,Entire Home/Apt,Premium,100.00%,"$136,875.00",3.50,,,,,,48697898,South Kohala,"$192,792.00",8,13.39%,,,,
Studio City,"$41,624.47",56.51%,0.9652941176,17,,,3488317,Entire Home/Apt,Premium,100.00%,"$136,875.00",-0.80,,,,,,262215444,The Watson Hotel,"$191,705.00",1,31.50%,,,,
East Los Angeles,"$41,598.33",81.92%,0.5733333333,6,,,3019237,Entire Home/Apt,Premium,100.00%,"$136,875.00",-0.93,,,,,,98994637,Charlette,"$191,625.00",1,100.00%,,,,
"Union Station, Stanton Park, Kingman Park","$41,572.48",68.63%,0.8414814815,27,,,1470392,Entire Home/Apt,Premium,100.00%,"$136,875.00",-0.37,,,,,,51079261,Riverside,"$191,270.00",3,93.23%,,,,
Oak Center,"$41,562.25",65.28%,1.2825,4,,,16872211,Entire Home/Apt,Premium,99.70%,"$136,500.00",-0.60,,,,,,46990368,Christopher,"$188,640.00",1,65.80%,,,,
Unionport,"$41,550.00",75.90%,0.92,1,,,6246552,Entire Home/Apt,Premium,83.30%,"$136,496.00",-0.19,,,,,,21448717,Swell Vacation Rentals,"$188,600.00",1,44.90%,,,,
La Crescenta-Montrose,"$41,550.00",75.90%,0.65,1,,,26685394,Entire Home/Apt,Premium,77.30%,"$136,488.00",-0.65,,,,,,10489933,Michelle,"$188,000.00",1,51.50%,,,,
El Monte,"$41,388.50",98.35%,0.505,2,,,42493257,Entire Home/Apt,Premium,93.40%,"$136,400.00",0.91,,,,,,3218200,Ashley,"$186,576.00",1,50.40%,,,,
Clinton Hill,"$41,287.38",79.49%,1.021724138,29,,,16882782,Entire Home/Apt,Premium,78.40%,"$136,136.00",-0.71,,,,,,289251521,Anja Evan,"$186,480.00",1,92.10%,,,,
Elmhurst Park,"$41,245.00",100.00%,0.72,1,,,29211683,Entire Home/Apt,Premium,75.60%,"$136,068.00",-0.25,,,,,,23438750,Nadeem,"$186,000.00",1,51.00%,,,,
78724,"$41,219.40",86.08%,0.518,5,,,27628244,Entire Home/Apt,Premium,84.70%,"$135,651.00",0.88,,,,,,141749210,Vacayhome Connect,"$185,785.00",2,100.00%,,,,
Seventh Ward,"$41,034.75",54.19%,1.2875,20,,,26499905,Entire Home/Apt,Premium,96.20%,"$135,486.00",-0.47,,,,,,197945923,Brian,"$185,368.00",1,63.60%,,,,
Old Town,"$41,020.58",57.92%,0.6366666667,12,,,23884308,Entire Home/Apt,Premium,100.00%,"$135,050.00",-0.87,,,,,,224972356,Matthew,"$185,000.00",1,50.70%,,,,
Central Business District,"$40,936.67",49.06%,1.221020408,49,,,1138235,Entire Home/Apt,Premium,81.10%,"$134,976.00",-0.46,,,,,,153159097,Brooke,"$184,190.00",2,76.70%,,,,
San Mateo,"$40,851.25",62.37%,0.8483333333,12,,,39731386,Entire Home/Apt,Premium,70.70%,"$134,160.00",0.99,,,,,,298417951,Viceroy Santa Monica,"$183,600.00",1,83.80%,,,,
